id,name,category,source_category,source_file,source_table,latitude,longitude,x_utm,y_utm,cluster_id,dist_to_cluster_centroid_m,competitor_density_500m,competitor_density_1km,same_category_density_500m,nearest_neighbor_dist_m,rating,review_log,price_level
116,PT  Batam Usaha Karya Unggul (KIKY),corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1699915,104.0103827,389897.66940755415,129338.8115586322,0,2512.1390674158356,16,60,9,107.68925479979198,5.0,1.3862943611198906,0
118,PT  Yap Adi Pratama,manufacturer,Company,Indonesia.Batam.PT.202408042212.db,places,1.1705067,104.0112041,389989.08551142813,129395.73318503056,0,2540.413263963772,15,65,1,107.68925479979198,4.0,0.6931471805599453,0
127,Bengkong laut,market,Company,Indonesia.Batam.PT.202408042212.db,places,1.1561898,104.0260997,391645.9475933292,127812.46907911536,0,1304.9676512249237,6,27,0,204.1163411716478,5.0,1.6094379124341003,0
133,PT  Berkah Tata Baruna Cabang Batam,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1539721,104.038947,393075.3634108035,127566.82380140033,-1,0.0,1,11,0,378.62107364174733,4.5,1.0986122886681098,0
134,PT  Mineral Anugrah Semesta,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1640288,104.0397634,393166.57973369246,128678.52225459536,-1,0.0,2,6,2,68.96171307159098,0.0,0.0,0
138,PT MINANG BARU SEJAHTERA,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1486427,104.0265904,391700.262004536,126978.14454152275,0,1032.1996315338,10,41,5,92.08296404556789,4.5,1.0986122886681098,0
141,PT WINGS FOOD,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1507983,104.0222715,391219.7840206868,127216.60301606238,0,613.2942018290559,11,54,8,101.87402760377044,3.0,1.791759469228055,0
143,Kantor LLS ( Lautan Lestari Shipyard ),corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1638304,104.0178751,390731.09964300075,128657.42847630363,0,1710.7146085989823,24,61,12,65.57327157569758,3.5,1.0986122886681098,0
149,PT Dinamika Batam,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1480506,104.0314726,392243.4764817759,126912.50546628032,0,1575.3664729921265,3,23,1,367.2800229703055,0.0,0.0,0
153,pt Alinda,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1642856,104.0333431,392452.2156741346,128707.15460479997,-1,0.0,0,10,0,503.1407453756762,0.0,0.0,0
154,PT  Chang Hue Wangsa Industri,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1598176,104.035299,392669.6761620016,128213.15935803595,-1,0.0,3,14,1,64.78625313979805,5.0,0.6931471805599453,0
156,PT PUTRI KHARISMA,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1352914,104.043512,393582.61408861214,125501.57624646439,2,68.5314409579964,14,26,12,20.550645839610894,5.0,0.6931471805599453,0
158,PT  Althaf Handal Mandiri,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1588287,104.0286811,391933.27623306296,128104.09178681024,-1,0.0,4,19,2,331.5904205768017,5.0,0.6931471805599453,0
159,PT  Cahaya Indonesia Grup,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1634688,104.0394903,393136.1713973485,128616.62677050676,-1,0.0,3,6,2,68.96171307159098,0.0,0.0,0
164,Bengkong Indah 2 Swadaya,homestay,Company,Indonesia.Batam.PT.202408042212.db,places,1.1445014,104.0306909,392156.36487804947,126520.18364493217,0,1548.1047410928393,5,31,0,265.5830875028539,4.7,2.302585092994046,0
166,BUDI INDO PERKASA,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1352352,104.0427442,393497.1797900252,125495.39183277219,2,143.08798588007085,14,30,12,7.934411420848245,5.0,1.0986122886681098,0
167,PT  Australian Skills Training,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.154785,104.021852,391173.25807193737,127657.3355466384,0,870.7068183931046,10,40,8,331.86566655608055,4.3,3.8501476017100584,0
168,Golden Prawn 933,seafood restaurant,Company,Indonesia.Batam.PT.202408042212.db,places,1.159912,104.037245,392886.2075333093,128223.52119254251,-1,0.0,4,11,0,190.87502171431967,4.2,1.9459101490553132,2
169,Bengkong Indah Swadebi Blok N 33,housing society,Company,Indonesia.Batam.PT.202408042212.db,places,1.1493517,104.0345098,392581.47042030934,127056.22294186258,-1,0.0,4,20,0,327.4399234155089,4.0,1.791759469228055,0
170,Sindo Utama Indonesia,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1647469,104.0278476,391840.75907062145,128758.359947529,-1,0.0,2,12,1,0.17802918841761972,0.0,0.0,0
171,PT  JENY JAYA BAHARI,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1593643,104.0257489,391607.0351389643,128163.41257186582,-1,0.0,4,19,2,223.65796130341812,0.0,0.0,0
173,Depo PT Laut Mas,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1648354,104.0182112,390768.53570688935,128768.51502049883,0,1823.4014551406904,24,53,12,81.61086504615388,0.0,0.0,0
176,Indah,laundry,Company,Indonesia.Batam.PT.202408042212.db,places,1.1476468,104.0249787,391520.8923230249,126868.11232138354,0,856.1079008256421,12,51,0,134.2410004730595,0.0,0.0,0
179,Bengkong ratu,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1578698,104.024394,391456.2205074403,127998.25255681171,0,1312.9428172918679,5,27,3,106.65653322867006,4.8,1.6094379124341003,0
180,PT  MUJUR INDO PERSADA,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1647469,104.027846,391840.5810414436,128758.36000893697,-1,0.0,2,12,1,0.17802918841761972,4.0,1.6094379124341003,0
