id,name,category,source_category,source_file,source_table,latitude,longitude,x_utm,y_utm,rating,review_count_log,cluster_id,population_density,nearby_review_count_log_sum_500m,nearby_review_count_log_mean_500m,nearby_avg_rating_500m,same_category_density_250m,same_category_density_500m,same_category_density_1000m,nearest_same_category_distance_m,competitor_saturation_index,business_density_250m,business_density_500m,business_density_1000m,nearest_business_distance_m,poi_diversity_index,nearest_road_distance_m,road_density_500m,intersection_density_500m,road_access_score,is_valid_land,distance_to_water_body_m,distance_to_forest_or_green_area_m,commercial_land_ratio_500m,residential_land_ratio_500m,cluster_centroid_distance_m,nearest_cluster_size,is_noise_area
2829,SMP Negeri 34 Batam,middle school,Education,Indonesia.Batam.School.202408060757.db,places,1.1267682,104.1417059,404508.10712826607,124555.967924821,4.3,2.8903717578961645,-1,878.9373752180311,9.076580381796658,1.8153160763593317,4.0600000000000005,0.0,0.0,0.0,3476.100832539012,0.0,4,4,5,83.36658797597178,1.3321790402061222,182.17125641552195,76.0,31,0.7127566613049807,1,693.9537977224373,169.37826058339846,0.0,0.0,1000.0,0.0,1
2830,Al Kahfi Islamic School,school,Education,Indonesia.Batam.School.202408060757.db,places,1.1181418,104.0242398,391437.577296756,123606.46275061401,5.0,1.0986122886681098,-1,5272.0895266801635,12.391589093220647,2.4783178186441295,4.4799999999999995,2.0,4.0,8.0,67.38983321454242,5.092958178940651,2,4,15,67.38983321454242,-1.000088900581841e-12,191.50386723179048,225.0,85,0.7426056951077551,1,1170.8269403547442,505.90847988897394,0.0,0.0,1000.0,0.0,1
2833,SMK Penerbangan SPN Dirgantara Batam,vocational school,Education,Indonesia.Batam.School.202408060757.db,places,1.105762,104.039512,393136.4681402822,122237.36389938933,4.4,4.2626798770413155,3,5272.0895266801635,22.11727806853611,2.7646597585670136,4.225,0.0,0.0,0.0,1140.4147149915998,0.0,2,7,23,140.0627039678236,1.4941751382843083,102.94627914033953,216.0,93,0.7420364288345337,1,835.2895441676735,937.49744436222,0.0,0.0,3139.8293920421684,237.0,0
2834,TK Excellent Holy Kids,kindergarten,Education,Indonesia.Batam.School.202408060757.db,places,1.1132181,104.0389149,393070.2964909541,123061.62823121047,5.0,1.791759469228055,3,5272.0895266801635,23.982671056731775,1.9985559213943145,4.566666666666666,0.0,1.0,2.0,448.6060076399037,1.2732395447351628,3,11,36,110.9024532770587,1.907283999313379,74.5726706044137,495.0,173,0.7985710546508376,1,1239.7944833377726,1186.6635229038536,0.0,0.0,2314.1538541891327,237.0,0
2836,Smart Start Preschool,school,Education,Indonesia.Batam.School.202408060757.db,places,1.1179058,104.0271763,391764.31329898257,123580.26534337757,4.7,1.3862943611198906,-1,5272.0895266801635,15.281960851116812,2.183137264445259,4.5285714285714285,1.0,5.0,11.0,228.13032404990741,6.366197723675814,1,6,18,228.13032404990741,0.41011631828640904,33.65904081421041,182.0,71,0.7361668064854748,1,1379.7345110948845,791.4344497751916,0.0,0.0,1000.0,0.0,1
2838,Purwadhika Digital Technology School - Batam,education center,Education,Indonesia.Batam.School.202408060757.db,places,1.1860771,104.1021698,400111.12794100726,131113.5457004007,4.7,3.4011973816621555,-1,878.9373752180311,5.886104031450156,1.9620346771500519,3.233333333333333,0.0,0.0,0.0,3130.5447314378007,0.0,2,2,9,64.58005903312787,1.0986122886651097,283.74474223931884,14.0,8,0.6988577272414492,1,52.74442793207205,68.99074894537861,0.0,0.0,1000.0,0.0,1
2839,SMK Negeri 2 Batam,vocational school,Education,Indonesia.Batam.School.202408060757.db,places,1.1048689,104.0497226,394272.5694093607,122138.26986037791,4.6,5.030437921392435,3,5272.0895266801635,21.360724562746988,1.6431326586728452,2.376923076923077,0.0,0.0,3.0,699.6650149037655,0.0,2,12,38,240.00664503951407,1.9459347757471135,76.67891973240621,653.0,244,0.8303322689927268,1,1187.2655794413788,1150.6290728619786,0.0,0.0,3561.0249174839237,237.0,0
2840,SMA Negeri 20 Batam,senior high school,Education,Indonesia.Batam.School.202408060757.db,places,1.1039366,104.0527545,394609.8953479737,122035.10041733726,4.8,4.663439094112067,3,5272.0895266801635,41.72844889317173,1.738685370548822,3.1916666666666664,0.0,0.0,0.0,2803.6750954530303,0.0,4,23,33,43.2805266095168,1.9751117880178628,19.944824499123396,844.0,284,0.8695582783038667,1,1376.6643810362427,1212.0475971776073,0.0,0.0,3808.342398269915,237.0,0
2841,GENZA EDUCATION BATAM CENTRE (ANGGREK SARI),school,Education,Indonesia.Batam.School.202408060757.db,places,1.1150038,104.0435624,393587.48683549,123258.86201699026,5.0,1.0986122886681098,3,5272.0895266801635,16.03910439032056,1.7821227100356178,4.188888888888889,1.0,2.0,14.0,237.8792941682109,2.5464790894703255,2,8,32,109.21117229842467,1.6769877743164172,59.632832500933176,212.0,98,0.7418388649142914,1,688.2187296082476,634.7774473475002,0.0,0.0,2258.676269884092,237.0,0
2842,Sekolah Mondial,school,Education,Indonesia.Batam.School.202408060757.db,places,1.144822,104.0481694,394101.18560306274,126554.97332631396,4.1,4.143134726391533,-1,9626.992191604691,9.741556685389908,2.435389171347477,4.05,0.0,2.0,2.0,274.77650746656997,2.5464790894703255,0,3,8,274.77650746656997,0.5623351446168083,152.713558640003,211.0,88,0.7403326432576711,1,56.68829130449929,56.94414906921299,0.0,0.0,1000.0,0.0,1
2846,SD NEGERI 004 NONGSA,elementary school,Education,Indonesia.Batam.School.202408060757.db,places,1.1563136,104.0987217,399726.41687656497,127823.48610630148,5.0,2.302585092994046,-1,878.9373752180311,12.929166902458071,1.616145862807259,4.175,0.0,0.0,0.0,3103.2465061029316,0.0,0,7,13,276.41961526889605,1.3862943611148906,42.80907992359833,790.0,265,0.8583725247364631,1,311.75385884529754,272.39395960142275,0.0,0.0,1000.0,0.0,1
2847,St Andrews School,school,Education,Indonesia.Batam.School.202408060757.db,places,1.1193704,104.0310506,392195.46010038856,123742.02902556375,4.3,2.1972245773362196,3,5272.0895266801635,7.321188556739479,1.8302971391848697,4.7,0.0,1.0,21.0,460.4943574432279,1.2732395447351628,0,3,33,273.38439538770604,1.039720770836918,57.63291667672992,284.0,108,0.7563538257496039,1,1451.7054578755456,1251.8534506466135,0.0,0.0,1698.9055296385277,237.0,0
2848,Sekolah Islam Terpadu Tunas Cendekia,school,Education,Indonesia.Batam.School.202408060757.db,places,1.13153,104.044495,393691.8541876152,125085.73257163141,4.8,3.4339872044851463,-1,5272.0895266801635,6.835184586147301,1.7087961465368253,3.675,0.0,1.0,5.0,263.0845745317995,1.2732395447351628,2,3,19,39.12046243837199,1.039720770836918,101.34458467870265,148.0,65,0.7283767924250079,1,1109.0758733903006,559.907337265487,0.0,0.0,1000.0,0.0,1
2849,Hanggar Amto Polibatam Aero Training Centre,school,Education,Indonesia.Batam.School.202408060757.db,places,1.1180414,104.047078,393978.7749777874,123594.5292373312,4.8,2.302585092994046,-1,5272.0895266801635,9.846917201047733,1.9693834402095465,4.859999999999999,0.0,3.0,10.0,264.1852704821865,3.819718634205488,0,4,20,264.1852704821865,0.5004024235361879,76.36482143763037,236.0,93,0.7464332522040542,1,301.62998985227875,281.6963625000708,0.0,0.0,1000.0,0.0,1
2850,KAMPUS KANSA PUBLIC SPEAKING SCHOOL BATAM,college,Education,Indonesia.Batam.School.202408060757.db,places,1.15851,104.022221,391214.45813309215,128069.10784369856,4.4,3.58351893845611,3,9626.992191604691,25.438487022493586,1.9568066940379683,3.6000000000000005,0.0,1.0,1.0,311.9877878374907,1.2732395447351628,4,12,37,40.78366761043199,1.5649572502378013,65.32226472476115,443.0,162,0.7882379709305578,1,985.5955187587847,640.2231847347938,0.0,0.0,3115.408066048409,237.0,0
