id,name,category,source_category,source_file,source_table,latitude,longitude,x_utm,y_utm,rating,review_count_log,cluster_id,population_density,nearby_review_count_log_sum_500m,nearby_review_count_log_mean_500m,nearby_avg_rating_500m,same_category_density_250m,same_category_density_500m,same_category_density_1000m,nearest_same_category_distance_m,competitor_saturation_index,business_density_250m,business_density_500m,business_density_1000m,nearest_business_distance_m,poi_diversity_index,nearest_road_distance_m,road_density_500m,intersection_density_500m,road_access_score,is_valid_land,distance_to_water_body_m,distance_to_forest_or_green_area_m,commercial_land_ratio_500m,residential_land_ratio_500m,cluster_centroid_distance_m,nearest_cluster_size,is_noise_area
4803,B'Kost Pelita,guest house,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.1416256,104.0204692,391018.8970975558,126202.65972737796,5.0,0.6931471805599453,-1,8196.7314918906,7.795646536334595,1.559129307266919,3.66,0.0,0.0,0.0,1000.0,0.0,2,4,4,19.954710336560794,1.3321790402061222,9.212220337732075,150.0,61,0.7375112019613759,1,1185.4031148093275,515.0129773642318,0.0,0.0,1000.0,0.0,1
4806,Wisata Hotel,hotel,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.1436837,104.018567,390807.3181474995,126430.24827027,4.3,4.394449154672439,-1,8196.7314918906,7.795646536334595,1.559129307266919,3.66,1.0,1.0,2.0,141.4040508762712,1.2732395447351628,2,4,5,141.4040508762712,1.3321790402061222,85.43500968541792,195.0,83,0.7479701204688177,1,1460.6564853667899,264.9748484880124,0.0,0.0,1000.0,0.0,1
4808,Kampung Pelita (Lubuk Baja),indonesia,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.1422386,104.0202948,390999.5148118777,126270.4314920817,0.0,0.0,-1,8196.7314918906,7.795646536334595,1.559129307266919,3.66,0.0,0.0,0.0,4327.203611461657,0.0,3,4,4,65.33435708826518,1.3321790402061222,48.51460784392362,165.0,71,0.7408498767670706,1,1255.7295566759553,452.8622687546787,0.0,0.0,1000.0,0.0,1
4814,Kost Pelita,lodge,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.103382,104.08035,397680.4084539525,121972.82841874467,4.6,2.1972245773362196,-1,5272.0895266801635,2.1972245773362196,2.1972245773362196,4.6,0.0,0.0,0.0,1000.0,0.0,0,0,0,1694.9631918575383,-1.000088900581841e-12,54.129148341111076,391.0,170,0.7973845464672465,1,209.7683004912512,313.3538241324865,0.0,0.0,1000.0,0.0,1
4856,Villa Panbil,housing complex,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.0908078,104.0260507,391638.0861804402,120584.71712241381,4.4,5.680172609017068,-1,972.3912270082593,11.470132779914321,5.735066389957161,4.4,0.0,0.0,1.0,992.9549220274989,0.0,1,1,2,133.82700766423216,0.6931471805579453,811.8365828868932,0.0,0,0.6914207594908458,1,1243.6189670038289,45.534532668822294,0.0,0.0,1000.0,0.0,1
4858,Clubhouse  Villa Panbil,cafe,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.0898055,104.0267252,391713.10271542706,120473.89209158174,4.4,5.7899601708972535,-1,972.3912270082593,11.470132779914321,5.735066389957161,4.4,0.0,0.0,0.0,1000.0,0.0,1,1,2,133.82700766423216,0.6931471805579453,769.465880079716,0.0,0,0.6918709457944919,1,1124.1103473502442,137.47027628651261,0.0,0.0,1000.0,0.0,1
4859,Villa Panbil Forest House Blok DD no 26,housing complex,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.0818292,104.0263046,391666.01809313946,119592.15514176394,5.0,1.6094379124341003,-1,972.3912270082593,1.6094379124341003,1.6094379124341003,5.0,0.0,0.0,1.0,992.9549220274989,0.0,0,0,2,882.99321080627,-1.000088900581841e-12,361.9146766605098,6.0,6,0.6977036582879719,0,484.0808808759724,0.0,0.0,0.0,1000.0,0.0,1
4928,Putri hijau,grocery store,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.0282902,103.9806473,386583.6910068977,113675.19297949954,5.0,1.0986122886681098,-1,4388.732137296748,1.0986122886681098,1.0986122886681098,5.0,0.0,0.0,0.0,1000.0,0.0,0,0,0,1679.850590742724,-1.000088900581841e-12,12.554358768922706,642.0,219,0.8606810341679938,1,637.1424104490945,63.54953545330428,0.0,0.0,1000.0,0.0,1
4934,ZEN Rooms Near Ferry Terminal Batam Centre,permanently closed,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.124678,104.0485307,394140.6544508746,124328.12510157168,4.1,2.8903717578961645,-1,5272.0895266801635,7.8532163881560715,3.9266081940780357,4.199999999999999,0.0,0.0,1.0,717.5449535151951,0.0,1,1,4,139.22125736129672,0.6931471805579453,89.5177292512636,378.0,140,0.7937531191014983,1,722.4516728737261,828.079035891836,0.0,0.0,1000.0,0.0,1
5324,Bukit indah sukajadi,housing society,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.1127053,104.0206955,391043.0023190168,123005.60687273671,4.4,2.9444389791664403,-1,5272.0895266801635,2.9444389791664403,2.9444389791664403,4.4,0.0,0.0,0.0,12435.732262307058,0.0,0,0,1,769.2095832599564,-1.000088900581841e-12,404.66365657851605,22.0,13,0.7012561306078992,1,490.5556728767417,15.59454836701116,0.0,0.0,1000.0,0.0,1
5325,Bukit Indah Sukajadi (Kantor Bukit Indah Sukajadi),real estate developer,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.1039265,104.0262698,391662.9377388221,122034.93577100254,4.4,4.859812404361672,-1,5272.0895266801635,4.859812404361672,2.429906202180836,2.2,0.0,0.0,0.0,1000.0,0.0,1,1,2,143.4373029226801,0.6931471805579453,311.6011003484954,20.0,15,0.7017440802419213,1,1000.5895213832839,163.9718034905218,0.0,0.0,1000.0,0.0,1
5327,Bukit Indah Sukajadi Mosque (Masjid Bukit Indah Sukajadi),mosque,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.1055531,104.0305536,392139.6571498942,122214.59476734068,4.8,7.261927092702751,-1,5272.0895266801635,7.261927092702751,3.6309635463513756,2.4,0.0,0.0,0.0,1000.0,0.0,0,1,4,387.2351264158912,0.6931471805579453,68.03065653573303,70.0,44,0.7168528704457743,1,1262.7700446971255,283.90813476365634,0.0,0.0,1000.0,0.0,1
5330,Graha Nusa Permai A9 07,housing complex,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.1153007,104.089933,398747.1019628755,123290.0471476479,4.5,1.0986122886681098,-1,5272.0895266801635,1.0986122886681098,1.0986122886681098,4.5,0.0,0.0,0.0,7606.373376343509,0.0,0,0,0,1694.9631918575383,-1.000088900581841e-12,34.730843914939804,638.0,229,0.8594437408275364,1,557.405208942305,564.4630367029937,0.0,0.0,1000.0,0.0,1
5331,Perumahan Graha Nusa Batam,housing complex,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.0400653,103.9711051,385522.3042096131,114977.25137825462,4.5,4.574710978503383,-1,4388.732137296748,4.574710978503383,4.574710978503383,4.5,0.0,0.0,0.0,3846.7057541546305,0.0,0,0,0,1679.850590742724,-1.000088900581841e-12,17.040078379685323,596.0,199,0.8491141749882213,1,1530.5122205919763,502.127957124128,0.0,0.0,1000.0,0.0,1
5335,Ikan bakar greenland,seafood restaurant,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.123507,104.0489912,394191.85171388136,124198.65928074674,4.3,4.962844630259907,-1,5272.0895266801635,7.8532163881560715,3.9266081940780357,4.199999999999999,0.0,0.0,0.0,1000.0,0.0,1,1,3,139.22125736129672,0.6931471805579453,8.035251201340596,347.0,122,0.786855927558682,1,584.9957571146812,690.4374385158513,0.0,0.0,1000.0,0.0,1
5341,Grand Park Hotel,permanently closed,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.1521271,104.0067749,389495.5405257032,127364.09383672208,3.6,2.1972245773362196,-1,5742.079344227783,7.590852123688581,2.530284041229527,3.8000000000000003,0.0,0.0,0.0,4993.869637519294,0.0,0,2,3,442.6694901657788,1.0986122886651097,55.89862951990342,537.0,202,0.8339266807220075,1,2563.782793316775,708.4949765118779,0.0,0.0,1000.0,0.0,1
5625,Imperium Superblok,corporate office,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.1178998,104.0252951,391554.991784548,123579.67147725787,4.2,3.6109179126442243,-1,5272.0895266801635,3.6109179126442243,3.6109179126442243,4.2,0.0,0.0,0.0,1000.0,0.0,0,0,1,769.2095832599564,-1.000088900581841e-12,182.29483027965117,210.0,79,0.7506972508267559,1,1241.278737898792,597.5731870532544,0.0,0.0,1000.0,0.0,1
5627,Windsor Square Hotel,hotel,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.1477996,104.0066198,389478.116158972,126885.70681761175,4.2,3.091042453358316,-1,8196.7314918906,5.288267030694536,2.644133515347268,3.9000000000000004,0.0,0.0,1.0,734.1732296255556,0.0,0,1,4,478.7042391803675,0.6931471805579453,30.340662568967,512.0,212,0.8279377986081705,1,2258.5856894465232,829.7850989125783,0.0,0.0,1000.0,0.0,1
5740,Pelita III,lodging,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.1416476,104.0202912,390999.09197607863,126205.098503278,5.0,1.6094379124341003,-1,8196.7314918906,7.795646536334595,1.559129307266919,3.66,0.0,0.0,0.0,6094.033555268438,0.0,2,4,4,19.954710336560794,1.3321790402061222,11.341679079170703,153.0,62,0.7382398286703659,1,1192.0410376248199,516.5323892033817,0.0,0.0,1000.0,0.0,1
